episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
12,MI,MI,1373.9757,561.0,0.0,0.0,180.0,0.0,-5.0,105.0,0.0,2214.9757,42.0,5,0.8125
12,CSK,CSK,1479.2304,594.0,0.0,0.0,190.0,0.0,15.0,90.0,0.0,2368.2304,44.2,6,1.0
12,RCB,RCB,1644.4169,606.0,0.0,0.0,210.0,0.0,15.0,345.0,0.0,2820.4169,47.8,1,1.0
12,KKR,KKR,1565.603,591.0,0.0,0.0,210.0,0.0,15.0,215.0,0.0,2596.603,44.1,2,1.0
12,DC,DC,1684.9936,648.0,0.0,0.0,190.0,0.0,15.0,165.0,0.0,2702.9936,43.8,3,1.0
12,RR,RR,1030.8781,333.0,0.0,0.0,140.0,0.0,-5.0,150.0,0.0,1648.8781,45.3,4,0.75
12,PBKS,PBKS,744.1015,156.0,0.0,0.0,70.0,-10.0,-5.0,70.0,0.0,1025.1015,68.7,7,0.875
12,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-20.0,0.0,-35.0,79.5,8,0.6875
13,MI,MI,1299.3343,549.0,0.0,0.0,210.0,0.0,15.0,120.0,0.0,2193.3343,35.6,6,1.0
13,CSK,CSK,1464.3061,474.0,0.0,0.0,170.0,0.0,15.0,70.0,0.0,2193.3061,42.4,7,1.0
13,RCB,RCB,1237.8655,555.0,0.0,0.0,210.0,0.0,15.0,120.0,0.0,2137.8655,32.0,5,1.0
13,KKR,KKR,1473.1531,600.0,0.0,0.0,190.0,0.0,15.0,150.0,0.0,2428.1531,38.7,3,1.0
13,DC,DC,1207.2843,351.0,0.0,0.0,170.0,0.0,15.0,150.0,0.0,1893.2843,49.7,4,1.0
13,RR,RR,1489.9543,621.0,0.0,0.0,240.0,0.0,-5.0,215.0,0.0,2560.9543,36.4,2,0.9375
13,PBKS,PBKS,1408.9963,336.0,0.0,0.0,140.0,-10.0,-5.0,315.0,0.0,2184.9963,54.7,1,0.875
13,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-20.0,0.0,-35.0,77.5,8,0.5
14,MI,MI,1355.8218,369.0,0.0,0.0,170.0,0.0,-5.0,215.0,0.0,2104.8218,47.3,2,0.875
14,CSK,CSK,850.5207,237.0,0.0,0.0,150.0,-10.0,15.0,330.0,0.0,1572.5207,58.1,1,1.0
14,RCB,RCB,1302.6946,579.0,0.0,0.0,200.0,0.0,15.0,120.0,0.0,2216.6946,39.5,5,1.0
14,KKR,KKR,1389.5652,516.0,0.0,0.0,190.0,0.0,15.0,55.0,0.0,2165.5652,45.9,7,1.0
14,DC,DC,1580.88,573.0,0.0,0.0,230.0,0.0,15.0,150.0,0.0,2548.88,42.6,4,1.0
14,RR,RR,1284.6001,561.0,0.0,0.0,210.0,0.0,15.0,165.0,0.0,2235.6001,37.8,3,1.0
14,PBKS,PBKS,1102.2762,321.0,0.0,0.0,170.0,0.0,15.0,105.0,0.0,1713.2762,52.3,6,1.0
14,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-20.0,0.0,-35.0,87.4,8,0.125
15,MI,MI,1349.725,516.0,0.0,0.0,180.0,0.0,15.0,90.0,0.0,2150.725,42.1,6,1.0
15,CSK,CSK,1275.7612,633.0,0.0,0.0,230.0,0.0,15.0,90.0,0.0,2243.7612,31.2,5,1.0
15,RCB,RCB,1594.0777,597.0,0.0,0.0,190.0,0.0,15.0,245.0,0.0,2641.0777,43.1,1,1.0
15,KKR,KKR,1345.8038,504.0,0.0,0.0,180.0,0.0,15.0,150.0,0.0,2194.8038,42.1,4,1.0
15,DC,DC,1267.6655,507.0,0.0,0.0,200.0,0.0,15.0,165.0,0.0,2154.6655,39.5,3,1.0
15,RR,RR,1182.7129,468.0,0.0,0.0,180.0,0.0,15.0,330.0,0.0,2175.7129,36.5,2,1.0
15,PBKS,PBKS,634.9524,96.0,0.0,0.0,100.0,-10.0,-5.0,70.0,0.0,885.9524,70.6,7,0.875
15,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-20.0,0.0,-35.0,83.2,8,0.25
16,MI,MI,1448.2705,522.0,0.0,0.0,190.0,0.0,15.0,250.0,0.0,2425.2705,42.9,3,1.0
16,CSK,CSK,1510.9745,681.0,0.0,0.0,230.0,0.0,15.0,70.0,0.0,2506.9745,44.1,7,1.0
16,RCB,RCB,1474.1864,591.0,0.0,0.0,210.0,0.0,15.0,105.0,0.0,2395.1864,36.4,6,1.0
16,KKR,KKR,1373.7296,540.0,0.0,0.0,130.0,0.0,15.0,245.0,0.0,2303.7296,42.8,1,1.0
16,DC,DC,1255.4207,474.0,0.0,0.0,170.0,0.0,-5.0,105.0,0.0,1999.4207,49.1,5,0.9375
16,RR,RR,1021.8857,309.0,0.0,0.0,130.0,-10.0,15.0,135.0,0.0,1600.8857,48.9,4,1.0
16,PBKS,PBKS,930.385,201.0,0.0,0.0,120.0,-10.0,15.0,230.0,0.0,1486.385,64.1,2,1.0
16,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-20.0,0.0,-35.0,76.7,8,0.6875
17,MI,MI,1245.5827,492.0,0.0,0.0,170.0,0.0,15.0,40.0,0.0,1962.5827,46.7,7,1.0
17,CSK,CSK,1458.1338,459.0,0.0,0.0,180.0,0.0,15.0,165.0,0.0,2277.1338,40.2,3,1.0
